region,month_no,popdensity,ssta,soi,typhoon_distance,typhoon_wind,rainfall,poverty,ndvi,evi,daily_temp,nightly_temp,polstab,dengue,dengue_next
XII,11,268.0203951,26.32499981,-0.725,81.36371024,53.46153846,3.06433125,12567.88526,7302.020833,4144.666667,13362.16667,13099.77234,-0.078212631,2,2
VII,5,1078.534869,26.80000038,0.28,1.745155508,12.3971831,4.090075,15064.20898,5053.5,3253.3,12027.15,14864.1,-0.059418216,45,67
XIII,9,353.9249504,24.625,0.7,18.01588086,65.51662234,1.49226875,14437.67285,7828.916667,5894.416667,14272.33333,6337.458333,-0.03970309,84,74
CAR,3,188.6860942,26.875,-0.0375,2.57841223,11.0882353,1.469859375,14291.15308,6808.75,3961.75,15066.32986,14410.44071,-0.047404139,2,2
II,9,249.7566749,24.94999981,-0.0625,24.5164829,67.76515151,0.5482125,13819.59017,6826,4646,14444.58056,9799.665675,-0.068146767,756,438
XII,6,262.0598707,26.5,0.1125,-1,-1,3.536025,12567.88526,7629.0625,5233.8125,7680.75,1923,-0.092324385,52,72
VI,3,676.1070588,27.2,-0.22,-1,-1,2.46351,12529.30013,5445.033333,3658.077778,15412.13373,14872.70151,-0.074354643,12,16
V,1,2140.148506,25.82500028,-0.3625,2.090554933,8.681818183,3.942441667,13185.27474,6362.694444,4111.708333,10728.12708,14676.96493,-0.097857244,135,96
XIII,2,352.0430591,26.19999981,-1.825,-1,-1,1.55334375,14437.67285,7571,4911,15199.7744,14701.25561,-0.048554813,183,137
III,2,1036.641919,26.57499981,-0.55,-1,-1,1.8734025,13843.37539,6274.2,4010.4,15217.95179,14677.00377,-0.075365421,82,68
XIII,11,347.9342632,25.37999954,0.26,11.56820852,55.16327561,0.46211,14437.67285,7512.8,5381.866667,15174.19317,14849.00149,-0.066063215,19,0
X,6,445.0834677,26.42500019,-0.6875,13.42194388,77.35136128,1.524366667,12926.38639,6437.208333,4570.125,10157,8813.263726,-0.058227142,71,174
II,6,252.4121359,26.42500019,-0.6875,10.19585198,77.35136128,0.46793125,13819.59017,6118.958333,4094.25,14103.74752,7476.710606,-0.058227142,41,80
III,2,1085.991841,26.19999981,-1.825,-1,-1,2.94931125,13843.37539,6492.95,4333.925,15137.65029,14685.63716,-0.048554813,181,110
I,11,373.4883178,25.37999954,0.26,10.58158004,55.16327561,1.381575,14512.18652,6784.2,3976.9,15332.36111,14895.30809,-0.066063215,62,62
XI,2,417.5538034,26.0250001,0.6125,-1,-1,6.348953125,13562.44726,7208.5,5181.75,16614.60615,9216.1875,-0.086100716,60,39
II,5,252.1057366,26.80000038,0.28,1.997396063,12.3971831,1.329338333,13819.59017,5931.4,4206.9,13397.13095,11867.18917,-0.059418216,21,41
IX,1,354.989873,25.02499962,0.6625,-1,-1,2.307969179,12786.95898,7265.25,4343.583333,15171.40278,14782.26074,-0.087570089,33,16
IX,9,357.8855782,25.54000015,-0.52,19.44952844,42.86078947,2.290376876,12786.95898,7150.766667,5796.166667,11255.46333,4006.653333,-0.080015646,56,53
XII,7,275.0280387,25.42500019,-0.425,5.583132295,9.597222223,0.704296875,12567.88526,7450.5625,5895.9375,9521.4375,7364.214286,-0.057158113,228,152
XI,5,419.1440482,27.25,-0.575,8.448191895,23.45,7.462765625,13562.44726,7162.625,4671.125,13741.5875,13141.73214,-0.083581491,81,123
II,1,254.4888427,25.87999992,-1.06,4.71407388,7.716129032,1.151908333,13819.59017,6770.433333,4003.233333,14110.11672,14520.61233,-0.051757035,47,29
VI,9,688.5201433,25.0999999,-0.225,19.17754294,62.21869277,1.202466667,12529.30013,6906.166667,5383.791667,13990.20139,13740.36541,-0.054718233,109,92
V,3,2071.900104,27.10000038,0.6375,-1,-1,3.365229167,13185.27474,7738.881944,5807.173611,12781.60417,14814.04065,-0.094424956,29,34
IX,3,360.0678488,27.2,-0.22,-1,-1,2.296546853,12786.95898,7439.677778,5054.355556,15379.52444,13898.92353,-0.074354643,32,41
VII,2,1093.812808,26.19999981,-1.825,-1,-1,3.8659375,15064.20898,7292.875,4235.125,15199.85,14645.78443,-0.048554813,189,144
CAR,3,190.3600819,26.45000028,1.5375,4.108413279,6.984375,2.213557813,14497.52679,7559.145833,4367.6875,15194.51302,13527.75097,-0.031624789,13,8
X,3,449.4377539,26.875,-0.0375,1.759258772,11.08823529,1.160916667,12926.38639,5053,3636.833333,12842.71111,14783.05921,-0.047404139,231,219
CAR,7,182.5213127,25.54000015,-0.28,-1,-1,0.807065,14291.15308,6124.45,4761.25,14229.6325,10127.975,-0.091570151,157,125
VII,3,1075.247211,27.1500001,-0.0875,0.998939484,7.583333333,2.14668125,15064.20898,6306.291667,3746.791667,15020,14823.61458,-0.061635676,43,40
IX,8,366.2789267,25.1,-0.3,26.20384399,72.08639876,2.437070234,12786.95898,7668.166667,5480.733333,13218.37778,3934.933333,-0.055943918,72,67
IX,1,372.4900046,24.92000008,1.06,-1,-1,1.640150829,12831.75137,7748.466667,5149.633333,13177.43333,12870.71883,-0.035320015,52,45
III,4,1114.426796,27.1800003,0.46,-1,-1,1.130153,14181.33172,6202.493333,4125.56,15369.69903,14780.50182,-0.030188834,50,23
IX,12,358.9767135,26.45999985,-0.74,11.70226182,31.10289856,1.222183683,12786.95898,8124.3,5619.955556,14061.28778,14743.31557,-0.077238993,49,66
II,2,247.6459237,26.57499981,-0.55,-1,-1,1.1759125,13819.59017,6621.833333,4323.333333,15171.25741,14598.19801,-0.075365421,59,25
III,3,1063.431877,27.1500001,-0.0875,1.571468715,7.583333333,0.9457775,13843.37539,5850.591667,3932.65,15622.02204,14720.89539,-0.061635676,58,25
XI,4,431.3767006,27.39999962,-0.1875,3.422061409,21,4.0336875,13562.44726,6142.625,4131.25,14078.94702,14765.71339,-0.06059766,256,390
XII,9,279.9414439,24.625,0.7,19.90490616,65.51662234,3.36136875,12567.88526,7369.8125,5706.5,13634.3125,9329.256725,-0.03970309,130,72
IX,5,365.1877914,26.80000038,0.28,1.995845494,12.3971831,3.063746637,12786.95898,7611.5,5468.533333,12234.93333,6989.6,-0.059418216,18,106
CAR,3,187.0121065,27.1500001,-0.0875,1.696072575,7.583333333,1.13523125,14291.15308,6858.645833,3678.135417,15112.79164,14472.377,-0.061635676,32,77
VII,9,1024.771996,24.27999992,0.12,-1,-1,0.310665,15064.20898,7087.6,5521.1,15569.03333,12162.82222,-0.090021049,558,283
VII,12,1090.331758,25.75,-0.3875,16.13198697,36.32221574,3.3759625,15064.20898,5148.875,3843.25,14998.25,14730.25,-0.051110161,223,274
CAR,2,186.8672422,26.3800003,0.88,2.455585521,5.670588236,2.73458875,14291.15308,7410.916667,3748.066667,13414.34893,14267.78393,-0.062791719,31,32
I,4,368.1702376,27.57499981,-0.3625,-1,-1,2.07168125,14512.18652,3798.5,2540,16042.89584,14997.77292,-0.084368467,0,1
III,2,1110.431802,25.99999953,0.7375,-1,-1,2.27189,13989.82324,7092.166667,4620.933333,14489.08286,13984.00367,-0.032891771,202,150
V,4,2122.16413,27.25,-0.175,7.22238625,33.48958333,5.950570833,13185.27474,6876.479167,4644.041667,15354.88333,14809.91192,-0.073331578,39,62
XI,3,418.1042727,27.14000015,-0.16,10.91418168,27.18369565,2.9243125,13562.44726,7046.05,4679.05,15891.87583,13269.26599,-0.085241015,39,80
CAR,12,183.2295383,24.55999985,-0.32,3.43262546,11.02845745,1.79849625,14291.15308,5953.325,3266.183333,13399.35887,14242.75964,-0.087687304,5,3
X,5,450.3867651,27.66000023,-0.32,-1,-1,1.34328,12926.38639,3960.966667,2566.633333,8228.733333,9916.720318,-0.044928377,247,374
XII,11,276.4778959,25.44999981,-0.7375,7.068054488,31.34782609,1.040728125,12567.88526,7797.0625,5565.75,15342.92292,14921.03525,-0.052230826,59,49
X,8,434.3652245,25.44999981,-0.56875,23.442914,60.62420635,0.769358333,12926.38639,6652.291667,4476.166667,7650.456944,1240.25,-0.080951725,159,146
V,10,2110.174545,25.75000048,-0.4375,150.6246192,38.48294788,1.6407375,13185.27474,7472.8125,5014.25,11466.09167,14402.61775,-0.079067001,76,55
XI,2,423.9147826,26.57499981,-0.55,-1,-1,1.44884375,13562.44726,7383.25,5315,15681.56855,14813.10509,-0.075365421,81,77
VII,10,1046.62525,25.75000048,-0.4375,150.99974,38.48294788,1.2353625,15064.20898,7243.25,5506.125,15381.875,7484.5,-0.079067001,444,510
CAR,7,185.8853841,25.82499981,0.225,3.959225075,25.00724638,1.781078125,14291.15308,7724.875,4629.5625,15188.93021,9991.892055,-0.070304164,305,274
II,4,248.2587224,27.25,-0.175,7.144912911,33.48958333,1.903395833,13819.59017,5107.708333,3199.694444,15671.21286,14959.06794,-0.073331578,62,34
XII,11,280.6663726,24.27499962,-0.125,7.548638889,27.28472222,1.97538125,12567.88526,7161.125,4248.0625,9549.958334,14971.0625,-0.036948955,47,35
VI,1,674.7629668,26.42499972,-0.3875,6.359353128,8.403225808,1.024885417,12529.30013,6361.541667,4194.041667,15179.38115,14783.36322,-0.067107047,48,24
CAR,1,188.4124616,25.87999992,-1.06,4.832342994,7.716129032,1.82226625,14291.15308,7134.1,3412.975,14812.57516,14247.8182,-0.051757035,15,1
VII,5,1058.228748,26.25,-0.4125,10.18763853,25.55555556,2.783475,15064.20898,4480.75,3438.75,7670.125,7534.5,-0.072411307,57,133
CAR,2,183.5031709,26.0250001,0.6125,-1,-1,2.6742625,14291.15308,7099.125,3513,14819.02393,13382.48593,-0.086100716,1,1
I,9,379.6443986,24.625,0.7,14.61602494,65.51662234,1.96131875,14512.18652,7563.125,5648,15449.25476,7458.25,-0.03970309,257,76
I,2,374.3263183,26.3800003,0.88,2.556847542,5.670588236,2.612185,14512.18652,4943.666667,2993.2,15504.49381,14787.59381,-0.062791719,22,15
VIII,4,486.3351756,27.52000046,-0.08,-1,-1,1.843153333,11980.20573,6833.533333,5308.1,15155.02778,14679.43579,-0.09371067,25,39
IX,11,371.77657,24.27499962,-0.125,7.074133069,27.28472222,2.063042694,12786.95898,8573.791667,5876.916667,15317.72917,11176.70833,-0.036948955,70,52
XIII,8,340.5635224,24.82500028,-0.175,-1,-1,0.547025,14437.67285,7097.791667,5124.875,11762.57639,7739.289583,-0.090802694,24,38
III,10,1053.091893,25.32499981,-0.1125,16.13607874,53.54285714,0.49348625,13843.37539,7587.25,5164.5,15131.85952,13313.64098,-0.067171899,547,373
CAR,11,189.8128167,24.27499962,-0.125,4.374890233,27.28472222,2.0989625,14291.15308,7575.375,4301.09375,13210.51317,13448.72886,-0.036948955,63,29
IX,4,356.0810083,27.57499981,-0.3625,-1,-1,5.06714442,12786.95898,7533.5,5283.166667,15213.69028,11124.27483,-0.084368467,15,34
XII,12,276.8000864,25.75,-0.3875,16.33984486,36.32221574,4.055128125,12567.88526,7327.25,5104.125,15065.85417,14953.34375,-0.051110161,49,178
XI,10,428.1962109,25.32499981,-0.1125,19.6567257,53.54285714,1.747265625,13562.44726,6733.3125,5016.8125,13975.15417,9336.8125,-0.067171899,59,179
XIII,1,345.2055208,26.42499972,-0.3875,5.65866072,8.403225808,0.72593125,14437.67285,7370.041667,4769.875,12510.00595,14706.13123,-0.067107047,62,34
