RULES: ('WEEK_49',) => ('DENGUE_HIGH',) : 0.7222
RULES: ('POLS_STABLE', 'TWIND_WEAK', 'ALT_LOW') => ('DENGUE_LOW',) : 0.7143
RULES: ('TEMPN_HOT', 'TEMPS_HOT', 'SOI_LA NINA') => ('DENGUE_HIGH',) : 0.7368
RULES: ('POV_NORMAL', 'TEMPS_WARM', 'TDIST_FAR') => ('DENGUE_HIGH',) : 0.7222
RULES: ('SSTA_COLD', 'TWIND_MODERATELY STRONG', 'RAINFALL_LARGE') => ('DENGUE_LOW',) : 0.8824
RULES: ('TDIST_DIRECT HIT', 'RAINFALL_VERY LARGE', 'NDVI_GREENER') => ('DENGUE_LOW',) : 0.75
RULES: ('RAINFALL_LARGE', 'TWIND_WEAK', 'NDVI_GREENEST') => ('DENGUE_LOW',) : 0.8
RULES: ('ALT_TALL', 'EVI_DENSER', 'TEMPS_COLD') => ('DENGUE_HIGH',) : 0.8
RULES: ('EVI_LESS DENSE', 'SSTA_WARM', 'SOI_LA NINA') => ('DENGUE_LOW',) : 0.8125
RULES: ('ALT_TALL', 'POPD_HIGHLY DENSE', 'TWIND_WEAK') => ('DENGUE_LOW',) : 0.7778
RULES: ('POLS_UNSTABLE', 'POV_NORMAL', 'SOI_LA NINA') => ('DENGUE_LOW',) : 0.7333
RULES: ('ALT_TALL', 'EVI_DENSER', 'TDIST_DIRECT HIT') => ('DENGUE_HIGH',) : 0.75
RULES: ('EVI_DENSEST', 'NDVI_GREENER', 'SOI_LOW') => ('DENGUE_LOW',) : 0.7273
RULES: ('POPD_DENSE', 'SOI_HIGH', 'POV_NORMAL') => ('DENGUE_LOW',) : 0.7143
RULES: ('SSTA_NORMAL', 'TEMPS_HOT', 'EVI_DENSE') => ('DENGUE_HIGH',) : 0.8462
RULES: ('POLS_STABLE', 'ALT_HIGH', 'SOI_EL NINO') => ('TDIST_DIRECT HIT',) : 0.7273
RULES: ('SSTA_WARM', 'RAINFALL_SMALL', 'POPD_LOWLY DENSE') => ('DENGUE_HIGH',) : 0.7143
RULES: ('EVI_DENSEST', 'TDIST_MIDDLING FAR', 'POPD_DENSE') => ('DENGUE_HIGH',) : 0.8
RULES: ('TEMPN_NORMAL', 'POPD_HIGHLY DENSE', 'NDVI_GREENER') => ('DENGUE_HIGH',) : 0.7273
RULES: ('ALT_TALL', 'TWIND_STRONG', 'RAINFALL_VERY LARGE') => ('DENGUE_LOW',) : 0.7333
RULES: ('POPD_DENSE', 'SOI_LA NINA', 'TEMPN_WARM') => ('POV_POOR',) : 0.75
RULES: ('POV_MILDLY POOR', 'POLS_STABLE', 'SOI_LA NINA') => ('DENGUE_LOW',) : 0.8
RULES: ('ALT_TALL', 'RAINFALL_MEDIUM', 'TWIND_MODERATELY STRONG') => ('DENGUE_HIGH',) : 0.8
RULES: ('POLS_VERY UNSTABLE', 'TWIND_MODERATELY STRONG', 'TDIST_NEAR') => ('DENGUE_LOW',) : 0.8333
RULES: ('EVI_DENSER', 'RAINFALL_LARGE', 'ALT_NORMAL') => ('DENGUE_LOW',) : 0.7692
RULES: ('TEMPN_HOT', 'TWIND_STRONG', 'RAINFALL_SMALL') => ('DENGUE_HIGH',) : 0.8
RULES: ('TEMPS_COLD', 'TWIND_MODERATELY STRONG', 'SSTA_WARM') => ('DENGUE_LOW',) : 0.7273
